City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
228,mahebourg,75,MU,10/4/2019,94,-20.41,57.7,73.4,13.87
229,sardarshahr,29,IN,10/4/2019,43,28.43,74.48,85.49,4.23
230,chokurdakh,100,RU,10/4/2019,91,70.62,147.9,27.91,20.56
231,burns lake,100,CA,10/4/2019,99,54.23,-125.76,39.53,2.62
232,khorramshahr,0,IR,10/4/2019,66,30.43,48.18,86,4.7
233,tecpan,90,GT,10/4/2019,93,14.76,-90.99,64.4,6.93
234,rocha,100,UY,10/4/2019,91,-34.48,-54.34,52.87,8.25
235,itarema,11,BR,10/4/2019,85,-2.92,-39.92,76.29,9.1
236,hoquiam,1,US,10/4/2019,93,46.98,-123.89,52,6.93
237,neiafu,75,TO,10/4/2019,94,-18.65,-173.98,75.2,9.17
238,mitsamiouli,0,KM,10/4/2019,81,-11.38,43.28,79.01,11.16
239,puro,0,PH,10/4/2019,68,13.13,123.76,84.12,6.22
240,hay river,40,CA,10/4/2019,47,60.82,-115.79,59,3.36
241,clyde river,90,CA,10/4/2019,94,70.47,-68.59,32,11.41
242,mackay,90,CA,10/4/2019,70,53.65,-115.58,48.2,3.36
243,cockburn town,100,TC,10/4/2019,74,21.46,-71.14,83.6,6.51
244,panjab,0,AF,10/4/2019,58,34.38,67.02,37.41,4.79
245,mangrol,60,IN,10/4/2019,74,25.33,76.51,79.51,3.65
246,esperance,90,AU,10/4/2019,87,-33.86,121.89,57.2,16.11
247,diamantino,100,BR,10/4/2019,82,-14.4,-56.44,75.32,2.13
248,ilulissat,100,GL,10/4/2019,31,69.22,-51.1,48.2,23.04
249,talnakh,75,RU,10/4/2019,93,69.49,88.39,39.2,22.37
250,flinders,75,AU,10/4/2019,64,-34.58,150.85,91.99,16.11
251,codrington,0,AU,10/4/2019,28,-28.95,153.24,86,2.24
252,saint-augustin,90,CA,10/4/2019,75,45.63,-73.98,46.4,9.17
253,asyut,0,EG,10/4/2019,50,27.18,31.19,75.2,3.36
254,presidencia roque saenz pena,100,AR,10/4/2019,95,-26.79,-60.44,61.73,5.32
255,vanderhoof,100,CA,10/4/2019,97,54.02,-124.02,42.23,4.05
256,marsh harbour,0,BS,10/4/2019,80,26.54,-77.06,80.7,9.91
257,kitimat,90,CA,10/4/2019,93,54.02,-128.69,48.2,8.05
258,tororo,4,UG,10/4/2019,84,0.69,34.18,63.94,4.09
259,beira,75,ES,10/4/2019,93,43.2,-8.36,64,7.23
260,tiarei,20,PF,10/4/2019,66,-17.53,-149.33,84.2,8.05
261,huittinen,75,FI,10/4/2019,86,61.18,22.7,33.8,11.41
262,calama,0,CL,10/4/2019,46,-22.46,-68.93,53.6,10.29
263,collierville,1,US,10/4/2019,61,35.04,-89.66,84,5.82
264,bukachacha,2,RU,10/4/2019,39,52.99,116.91,40.52,7.78
265,fukue,20,JP,10/4/2019,57,35.03,136.69,80.6,23.04
266,road town,40,VG,10/4/2019,74,18.42,-64.62,84.2,5.82
267,provideniya,75,RU,10/4/2019,80,64.42,-173.23,39.2,15.66
268,vestmannaeyjar,100,IS,10/4/2019,78,63.44,-20.27,47.71,40.38
269,odienne,65,CI,10/4/2019,95,9.51,-7.57,70.3,2.51
270,jensen beach,1,US,10/4/2019,69,27.25,-80.23,80.6,8.05
271,inhambane,0,MZ,10/4/2019,96,-23.87,35.38,63.04,3.91
272,bredasdorp,94,ZA,10/4/2019,76,-34.53,20.04,60.01,5.82
273,uarini,7,BR,10/4/2019,70,-2.98,-65.16,78.43,1.72
274,cortland,90,US,10/4/2019,100,42.6,-76.18,59,5.82
275,sinnamary,68,GF,10/4/2019,83,5.38,-52.96,81.37,16.96
276,evanston,1,US,10/4/2019,81,42.04,-87.69,55.99,3.36
277,tazovskiy,97,RU,10/4/2019,90,67.47,78.7,40.29,16.53
278,cochrane,52,CL,10/4/2019,92,-47.25,-72.57,26.09,4
279,harper,1,US,10/4/2019,50,30.3,-99.24,82.4,8.81
280,longyearbyen,75,NO,10/4/2019,97,78.22,15.63,32,3.36
281,batemans bay,35,AU,10/4/2019,37,-35.71,150.18,79,1.99
282,sangar,100,RU,10/4/2019,51,63.92,127.47,27.01,10.33
283,lyuban,100,BY,10/4/2019,95,52.8,28,41.24,6.78
284,jacareacanga,100,BR,10/4/2019,89,-6.22,-57.76,74.08,3.2
